id;nome;rua;bairro ;cidade;cep;estado
05034;COMPER ITJ LJ11;AVENIDA SETE DE SETEMBRO , 300;CENTRO;ITAJAI;88301200;SC
05875;FORT JARAGUA LJ 85;RUA MAX WILHELM, 594;BAEPENDI;JARAGUA DO SUL;89256000;SC
10980;FORT BC LJ 115;AV MARGINAL LESTE, S/N;CENTRO;BALNEARIO CAMBORIU;88330116;SC
11078;FORT PALHOCA LJ 130;ROD BR 101, SN;PASSA VINTE;PALHOCA;88132010;SC
11867;FORT BRUSQUE LJ 135;AV BEPE, 3700;CENTRO;BRUSQUE;88353130;SC
12370;FORT KOBRASOL LJ160;RUA CASSOL, 1199;KOBRASOL;SAO JOSE;88102340;SC
13073;FORT ICARA LJ 185;ROD SC 443, SN;PRESIDENTE VARGAS;ICARA;88820000;SC
13074;FORT PORTOBELO LJ190;AV GOVERNADOR CELSO RAMOS, SN;ALTO PEREQUE;PORTO BELO;88210000;SC
13309;FORT ATAC CHAPECO;AV SAO PEDRO E, 1968;SAO CRISTOVAO;CHAPECO;89803402;SC
13311;FORT CAMPECHE L145;ROD FRANCISCO MAGNO VIEIRA, SN;CAMPECHE;FLORIANOPOLIS;88065000;SC
13663;FORT ITAJAI CORDEIR;RUA DOUTOR REINALDO SCHMITHAUSEN, 1249;CORDEIROS;ITAJAI;88310004;SC
14018;FORT TUBARAO;R DEPUTADO OLICES PEDRA DE CALDAS, SN;DEHON;TUBARAO;88704296;SC
14043;FORT INGLESES L 210;ROD. ARMANDO CALIL BULOS, 170;VARGEM GRANDE;FLORIANOPOLIS;88058000;SC
14221;FORT BARRA VELHA;RODOVIA BR 101 KM 86, S/N;SAO CRISTOVAO;BARRA VELHA;88390000;SC
14230;FORT AVENTUREIRO 165;RUA TUIUTI, 4157;AVENTUREIRO;JOINVILLE;89226001;SC
14333;FORT CRICIUMA;AVENIDA: CENTENARIO, 1151;PINHEIRINHO;CRICIUMA;88805000;SC
14613;FORT BIGUACU LJ 290;7 SETEMBRO , S/N;CENTRO;BIGUACU;88160164;SC
14814;FORT FLORIPA LJ 810;RUA JOSE CARLOS DAUX, SC 401, 9580, 9580;SANTO ANTONIO DE LISBOA;FLORIANOPOLIS;88050001;SC
14815;FORT PALHOCA LJ 462;RUA AMARO FERREIRA DE MACEDO, 160;CENTRO;PALHOCA;88130280;SC
14816;FORT JD LJ 379;RUA ELESBAO PINTO DA LUZ, 1183;JARDIM ATLANTICO;FLORIANOPOLIS;88095500;SC
14817;FORT BARR SJ LJ 365;ROD BR 101 , KM 202, 385;BARREIROS;SAO JOSE;88111901;SC
14818;FORT LAGES;AVENIDA: PAPA JOCO XXIII, 120;BEATRIZ;LAGES;88505001;SC
14819;FORT BARREIRO LJ306;RUA SEBASTIAO FURTADO PEREIRA, 9;BARREIROS;SAO JOSE;88117400;SC
15095;FORT S BENTO 385;RUA: JORGE ZIPPERER, 0;CENTRO;SAO BENTO DO SUL;89280490;SC
15109;FORT INDAIAL 270;RUA: AUGUSTO HASSE, 1699;BENEDITO;INDAIAL;89084508;SC
15110;FORT BC 295;AVENIDA MARGINAL LESTE AREA A, 0;CENTRO;BALNEARIO CAMBORIU;88330116;SC
15116;FORT BUCAREIN 305;RUA CORONEL FRANCISCO GOMES, 788;BUCAREIN;JOINVILLE;89202250;SC
15117;FORT BLUMENA LJ 480;VIA EXPRESSA PAUL FRITZ KUEHNRICH, 1400;ITOUPAVA NORTE;BLUMENAU;89052381;SC
15119;FORT C.SILVA 405;AVENIDA ALMIRANTE JACEGUAY, 2951;COSTA E SILVA;JOINVILLE;89220055;SC
15482;FORT ITOUP LJ195;DOUTOR PEDRO ZIMMERMANN, 1511;ITOUPAVAZINHA;BLUMENAU;89066003;SC
15579;FORT NAVEGANTES LJ37;RUA: VEREADOR NEREU LIBERATO NUNES, 571;SAO DOMINGOS;NAVEGANTES;88370232;SC
15618;FORT ITJ CENTR L325;RUA: INDAIAL, 1730;SAO JOAO;ITAJAI;88304300;SC
15619;FORT ITJ CENTR L310;RUA: CORONEL MARCOS KONDER, 228;CENTRO;ITAJAI;88301330;SC
17081;FORT ARARANGUA;RUA PORFIRIO LOPES DE AGUIAR, 635;ALTO FELIZ;ARARANGUA;88905018;SC
17178;FORT ATAC CANOAS;AV FARROUPILHA, 4803;MARECHAL RONDON;CANOAS;92020475;RS
17325;FORT ATACADISTA  VIA;ROD TAPIR ROCHA, 7131;KRAHE;VIAMAO;94435000;RS
17325;FORT ATACADISTA RS V;ROD TAPIR ROCHA, 7131;KRAHE;VIAMAO;94435000;RS
17802;FORT ATAC CAXIAS;RUA 13 DE MAIO 1445;EXPOSICAO;CAXIAS DO SUL;95084460;RS
17802;FORT ATACADISTA;RUA 13 DE MAIO, 1445;EXPOSICAO;CAXIAS DO SUL;95084460;RS
18043;FORT STA CATARINA;RUA SANTA CATARINA, 3086;STA CATARINA;JOINVILLE;89211300;SC
18044;FORT VILA NOVA;RUA QUINZE DE NOVEMBRO, 5008;VILA NOVA;JOINVILLE;89237000;SC
18045;FORT RIO DO SUL;RODOVIA BR 470 - AREA 01, 6380;CANTA GALO;RIO DO SUL;89163244;SC
18174;FORT ATAC RS LJ 885;AV PAUL HARRIS, 291;CENTRO;SANTA CRUZ DO SUL;96810408;RS
18188;FORT LAGES 960;RUA GETULIO VARGAS, 232;CONTA DINHEIRO;LAGES;88508620;SC
18189;FORT ITAJAI 825;AVENIDA GOVERNADOR ADOLFO KONDER, 700;SAO VICENTE;ITAJAI;88308000;SC
18247;FORT RIO TAVARES;RODOVIA DOUTOR ANTONIO LUIZ MOURA GONZAG;RIO TAVARES;FLORIANOPOLIS;88048300;SC
18297;FORT NOVO HAMBURGO;VINTE E QUATRO DE MAIO, 368;OPERARIO;NOVO HAMBURGO;93315138;RS
18304;FORT PENHA;RUA ABILIO SOUZA, 750;PRAIA DE ARMACAO DO ITAPOCOROY;PENHA;88385000;SC
18538;FORT RS GRAVATAI;AV DORIVAL CANDIDO LUZ DE OLIVEIRA, 6845;BOM PRINCIPIO;GRAVATAI;94070001;RS
00410;BRASIL ATAC BARREIRO;RUA ARNOLDO PEDRO MEIRA, 547;IPIRANGA;SAO JOSE;88111130;SC
00420;BRASIL ATACADISTA;RUA ARISTILIANO RAMOS,1377;CENTRO;RIO DO SUL;89160113;SC
12944;BRASIL ATACADIST BI;RUA JOAO COAN, 390;UNIVERSITARIO;BIGUACU;88161064;SC
13366;BRASIL ATAC INGLESE;ROD ARMANDO CALIL BULOS, 5890;INGLESES DO RIO VERMELHO;FLORIANOPOLIS;88058001;SC
14017;BRASIL AT RIO DO SU;EST BOA ESPERANCA, 240;PROGRESSO;RIO DO SUL;89163610;SC
14657;BRASIL ATAC RIO TAVA;RODOVIA: FRANCISCO MAGNO VIEIRA, 373;COSTEIRA DO PIRAJUBAE;FLORIANOPOLIS;88048000;SC
14869;BRASIL ATACAD SJ;RODOVIA SC -281, 2665;PICADAS DO SUL;SAO JOSE;88106115;SC
15004;BRASIL ATA. PALHOCA;RODOVIA: BR-101 KM 215,7, 0;ARIRIU;PALHOCA;88135016;SC
15360;BRASIL AT PRAIA BRV;AV OSVALDO REIS, 2751;PRAIA BRAVA;ITAJAI;88306601;SC
16018;BRASIL ATAC LAGES;AVENIDA: DAS TORRES, 160;GUARUJA;LAGES;88521098;SC
16644;BRASIL ATAC LOJA 35;RUA ALBANO SCHMIDT, 1200;BOA VISTA;JOINVILLE;89205098;SC
17153;BRASIL ATAC BLUMENAU;R DR PEDRO ZIMMERMANN, 2430;ITOUPAVAZINHA;BLUMENAU;89066000;SC
07711;KOMPRAO S JOAO LJ10;RUA GETULIO VARGAS, 817;CENTRO;SAO JOAO BATISTA;88240000;SC
11021;KOMPRAO NAV 11;RUA VEREADOR NEREU LIBERATO NUNES, 191;CENTRO;NAVEGANTES;88370262;SC
12146;KOMPRAO BC LJ 12;RUA MONTE AGULHAS NEGRAS, SN;CENTRO;CAMBORIU;88348408;SC
12765;KOMPRAO P. BELO LJ15;AV GOVERNADOR CELSO RAMOS,100;VILA NOVA;PORTO BELO;88210000;SC
13249;KOMPRAO NAV. LJ 17;ROD 470, 5080;NOSSA SENHORA DAS GRACAS;NAVEGANTES;88371240;SC
13537;KOCH KOMP ITAPEMA 18;RUA 418 A, 792;MORRETES;ITAPEMA;88220000;SC
14191;KOMPRAO BC LJ 21;RUA PERNANBUCO, 251;AREIAS;CAMBORIU;88345146;SC
14244;KOMPRAO BARRA V LJ22;BENTO JOSE LUIZ, 227;SAO CRISTOVAO;BARRA VELHA;88390000;SC
